# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum
21100 42.2 -5.05151e-15 773.757
21200 42.4 -5.05151e-15 773.757
21300 42.6 -5.05151e-15 773.757
21400 42.8 -5.05151e-15 773.757
21500 43 -5.05151e-15 773.757
21600 43.2 -5.05151e-15 773.757
21700 43.4 -5.05151e-15 773.757
21800 43.6 -5.05151e-15 773.757
21900 43.8 -5.05151e-15 773.757
22000 44 -5.05151e-15 773.757
22100 44.2 -5.05151e-15 773.757
22200 44.4 -5.05151e-15 773.757
22300 44.6 -5.05151e-15 773.757
22400 44.8 -5.05151e-15 773.757
22500 45 -5.05151e-15 773.757
22600 45.2 -5.05151e-15 773.757
22700 45.4 -5.05151e-15 773.757
22800 45.6 -5.05151e-15 773.757
22900 45.8 -5.05151e-15 773.757
23000 46 -5.05151e-15 773.757
23100 46.2 -5.05151e-15 773.757
23200 46.4 -5.05151e-15 773.757
23300 46.6 -5.05151e-15 773.757
23400 46.8 -5.05151e-15 773.757
23500 47 -5.05151e-15 773.757
23600 47.2 -5.05151e-15 773.757
23700 47.4 -5.05151e-15 773.757
23800 47.6 -5.05151e-15 773.757
23900 47.8 -5.05151e-15 773.757
24000 48 -5.05151e-15 773.757
24100 48.2 -5.05151e-15 773.757
24200 48.4 -5.05151e-15 773.757
24300 48.6 -5.05151e-15 773.757
24400 48.8 -5.05151e-15 773.757
24500 49 -5.05151e-15 773.757
24600 49.2 -5.05151e-15 773.757
24700 49.4 -5.05151e-15 773.757
24800 49.6 -5.05151e-15 773.757
24900 49.8 -5.05151e-15 773.757
25000 50 -5.05151e-15 773.757
25100 50.2 -5.05151e-15 773.757
25200 50.4 -5.05151e-15 773.757
25300 50.6 -5.05151e-15 773.757
25400 50.8 -5.05151e-15 773.757
25500 51 -5.05151e-15 773.757
25600 51.2 -5.05151e-15 773.757
25700 51.4 -5.05151e-15 773.757
25800 51.6 -5.05151e-15 773.757
25900 51.8 -5.05151e-15 773.757
26000 52 -5.05151e-15 773.757
26100 52.2 -5.05151e-15 773.757
26200 52.4 -5.05151e-15 773.757
26300 52.6 -5.05151e-15 773.757
26400 52.8 -5.05151e-15 773.757
26500 53 -5.05151e-15 773.757
26600 53.2 -5.05151e-15 773.757
26700 53.4 -5.05151e-15 773.757
26800 53.6 -5.05151e-15 773.757
26900 53.8 -5.05151e-15 773.757
27000 54 -5.05151e-15 773.757
27100 54.2 -5.05151e-15 773.757
27200 54.4 -5.05151e-15 773.757
27300 54.6 -5.05151e-15 773.757
27400 54.8 -5.05151e-15 773.757
27500 55 -5.05151e-15 773.757
27600 55.2 -5.05151e-15 773.757
27700 55.4 -5.05151e-15 773.757
27800 55.6 -5.05151e-15 773.757
27900 55.8 -5.05151e-15 773.757
28000 56 -5.05151e-15 773.757
28100 56.2 -5.05151e-15 773.757
28200 56.4 -5.05151e-15 773.757
28300 56.6 -5.05151e-15 773.757
28400 56.8 -5.05151e-15 773.757
28500 57 -5.05151e-15 773.757
28600 57.2 -5.05151e-15 773.757
28700 57.4 -5.05151e-15 773.757
28800 57.6 -5.05151e-15 773.757
28900 57.8 -5.05151e-15 773.757
29000 58 -5.05151e-15 773.757
29100 58.2 -5.05151e-15 773.757
29200 58.4 -5.05151e-15 773.757
29300 58.6 -5.05151e-15 773.757
29400 58.8 -5.05151e-15 773.757
29500 59 -5.05151e-15 773.757
29600 59.2 -5.05151e-15 773.757
29700 59.4 -5.05151e-15 773.757
29800 59.6 -5.05151e-15 773.757
29900 59.8 -5.05151e-15 773.757
30000 60 -5.05151e-15 773.757
