# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum v_E
16000 32 -5.05151e-15 773.757 -6.52856e-18
16100 32.2 -5.05151e-15 773.757 -6.52856e-18
16200 32.4 -5.05151e-15 773.757 -6.52856e-18
16300 32.6 -5.05151e-15 773.757 -6.52856e-18
16400 32.8 -5.05151e-15 773.757 -6.52856e-18
16500 33 -5.05151e-15 773.757 -6.52856e-18
16600 33.2 -5.05151e-15 773.757 -6.52856e-18
16700 33.4 -5.05151e-15 773.757 -6.52856e-18
16800 33.6 -5.05151e-15 773.757 -6.52856e-18
16900 33.8 -5.05151e-15 773.757 -6.52856e-18
17000 34 -5.05151e-15 773.757 -6.52856e-18
17100 34.2 -5.05151e-15 773.757 -6.52856e-18
17200 34.4 -5.05151e-15 773.757 -6.52856e-18
17300 34.6 -5.05151e-15 773.757 -6.52856e-18
17400 34.8 -5.05151e-15 773.757 -6.52856e-18
17500 35 -5.05151e-15 773.757 -6.52856e-18
17600 35.2 -5.05151e-15 773.757 -6.52856e-18
17700 35.4 -5.05151e-15 773.757 -6.52856e-18
17800 35.6 -5.05151e-15 773.757 -6.52856e-18
17900 35.8 -5.05151e-15 773.757 -6.52856e-18
18000 36 -5.05151e-15 773.757 -6.52856e-18
18100 36.2 -5.05151e-15 773.757 -6.52856e-18
18200 36.4 -5.05151e-15 773.757 -6.52856e-18
18300 36.6 -5.05151e-15 773.757 -6.52856e-18
18400 36.8 -5.05151e-15 773.757 -6.52856e-18
18500 37 -5.05151e-15 773.757 -6.52856e-18
18600 37.2 -5.05151e-15 773.757 -6.52856e-18
18700 37.4 -5.05151e-15 773.757 -6.52856e-18
18800 37.6 -5.05151e-15 773.757 -6.52856e-18
18900 37.8 -5.05151e-15 773.757 -6.52856e-18
19000 38 -5.05151e-15 773.757 -6.52856e-18
19100 38.2 -5.05151e-15 773.757 -6.52856e-18
19200 38.4 -5.05151e-15 773.757 -6.52856e-18
19300 38.6 -5.05151e-15 773.757 -6.52856e-18
19400 38.8 -5.05151e-15 773.757 -6.52856e-18
19500 39 -5.05151e-15 773.757 -6.52856e-18
19600 39.2 -5.05151e-15 773.757 -6.52856e-18
19700 39.4 -5.05151e-15 773.757 -6.52856e-18
19800 39.6 -5.05151e-15 773.757 -6.52856e-18
19900 39.8 -5.05151e-15 773.757 -6.52856e-18
20000 40 -5.05151e-15 773.757 -6.52856e-18
20100 40.2 -5.05151e-15 773.757 -6.52856e-18
20200 40.4 -5.05151e-15 773.757 -6.52856e-18
20300 40.6 -5.05151e-15 773.757 -6.52856e-18
20400 40.8 -5.05151e-15 773.757 -6.52856e-18
20500 41 -5.05151e-15 773.757 -6.52856e-18
20600 41.2 -5.05151e-15 773.757 -6.52856e-18
20700 41.4 -5.05151e-15 773.757 -6.52856e-18
20800 41.6 -5.05151e-15 773.757 -6.52856e-18
20900 41.8 -5.05151e-15 773.757 -6.52856e-18
21000 42 -5.05151e-15 773.757 -6.52856e-18
21100 42.2 -5.05151e-15 773.757 -6.52856e-18
21200 42.4 -5.05151e-15 773.757 -6.52856e-18
21300 42.6 -5.05151e-15 773.757 -6.52856e-18
21400 42.8 -5.05151e-15 773.757 -6.52856e-18
21500 43 -5.05151e-15 773.757 -6.52856e-18
21600 43.2 -5.05151e-15 773.757 -6.52856e-18
21700 43.4 -5.05151e-15 773.757 -6.52856e-18
21800 43.6 -5.05151e-15 773.757 -6.52856e-18
21900 43.8 -5.05151e-15 773.757 -6.52856e-18
22000 44 -5.05151e-15 773.757 -6.52856e-18
22100 44.2 -5.05151e-15 773.757 -6.52856e-18
22200 44.4 -5.05151e-15 773.757 -6.52856e-18
22300 44.6 -5.05151e-15 773.757 -6.52856e-18
22400 44.8 -5.05151e-15 773.757 -6.52856e-18
22500 45 -5.05151e-15 773.757 -6.52856e-18
22600 45.2 -5.05151e-15 773.757 -6.52856e-18
22700 45.4 -5.05151e-15 773.757 -6.52856e-18
22800 45.6 -5.05151e-15 773.757 -6.52856e-18
22900 45.8 -5.05151e-15 773.757 -6.52856e-18
23000 46 -5.05151e-15 773.757 -6.52856e-18
