# Time-averaged data for fix logger
# TimeStep c_Fsum c_Tglob
77600 531722 0.583448
77800 535461 0.585692
78000 532231 0.592633
78200 537249 0.595976
78400 536403 0.586201
78600 537441 0.593991
78800 539757 0.592514
79000 542055 0.600804
79200 538885 0.595433
79400 541425 0.600354
79600 541459 0.595956
79800 543234 0.600238
80000 545395 0.59888
80200 552159 0.600693
80400 552716 0.599109
80600 546401 0.60142
80800 550601 0.607536
81000 549853 0.601176
81200 555802 0.607632
81400 555540 0.606428
81600 561344 0.609901
81800 557574 0.60591
82000 554236 0.607366
82200 560721 0.609968
82400 562809 0.614792
82600 563778 0.610351
82800 560779 0.615291
83000 563293 0.61807
83200 563122 0.619823
83400 564613 0.61789
83600 567778 0.618545
83800 572049 0.619707
84000 566590 0.62168
84200 569298 0.623669
84400 566751 0.623108
84600 567631 0.622107
84800 570379 0.624987
85000 577885 0.623443
85200 566917 0.620562
85400 575067 0.625454
85600 577282 0.627258
85800 579532 0.631116
86000 578961 0.628004
86200 570599 0.629548
86400 581261 0.630357
86600 578573 0.638843
86800 576615 0.629781
87000 577835 0.637301
87200 585617 0.635132
87400 584383 0.639307
87600 588910 0.637247
87800 585419 0.638133
88000 587190 0.639881
88200 587731 0.641997
88400 587713 0.644087
88600 590184 0.640981
88800 591784 0.645916
89000 589586 0.642995
89200 594484 0.647112
89400 590261 0.644874
89600 597000 0.644642
89800 594130 0.651066
90000 595900 0.646017
90200 595797 0.649257
90400 596864 0.651656
90600 598923 0.65421
90800 598824 0.653015
91000 602063 0.653045
91200 601242 0.657888
91400 598503 0.656067
91600 604978 0.657716
91800 607258 0.656694
92000 602561 0.66207
92200 605913 0.658351
92400 610461 0.667701
92600 604742 0.66504
92800 608033 0.662413
93000 605741 0.67192
93200 610514 0.655822
93400 607523 0.669947
93600 615359 0.668108
93800 610797 0.667245
94000 615348 0.666738
94200 612074 0.668172
94400 612349 0.673501
94600 612249 0.676894
94800 611933 0.670933
95000 612775 0.674889
95200 615906 0.677303
95400 613073 0.671968
95600 619148 0.676927
95800 617537 0.68034
96000 619237 0.676406
96200 619024 0.68175
96400 621093 0.681484
96600 621568 0.687662
96800 622184 0.682842
97000 620475 0.684683
97200 621655 0.689008
97400 628829 0.686724
97600 625113 0.691703
97800 617130 0.685491
98000 628064 0.691033
98200 624224 0.695207
98400 622643 0.687835
98600 626771 0.694604
98800 625966 0.693888
99000 630286 0.69316
99200 630377 0.699415
99400 630955 0.694093
99600 629215 0.693313
99800 633686 0.699705
100000 638443 0.695632
100200 637234 0.702324
100400 636709 0.703084
100600 631371 0.706319
100800 638868 0.701798
101000 641140 0.702292
101200 637619 0.705142
101400 634033 0.706764
101600 641731 0.706889
101800 640338 0.703182
102000 645667 0.709271
102200 640167 0.705642
102400 639860 0.710299
102600 639101 0.713062
102800 644726 0.71596
103000 644130 0.715469
103200 647368 0.713822
103400 642107 0.721251
103600 644804 0.713768
103800 641572 0.716161
104000 651084 0.719643
104200 647594 0.71693
104400 648944 0.725699
104600 649292 0.723367
104800 652964 0.719898
105000 652788 0.721736
105200 653572 0.727287
105400 652874 0.726524
105600 654109 0.730278
105800 653378 0.72692
106000 650453 0.728972
106200 658790 0.729351
106400 652229 0.732242
106600 647408 0.741115
106800 659119 0.738467
107000 653943 0.728698
107200 651730 0.739631
107400 661452 0.735384
107600 649971 0.734016
107800 659858 0.738445
108000 660548 0.744979
108200 654942 0.740696
108400 666459 0.734529
108600 660368 0.744936
108800 663149 0.744891
109000 667332 0.744944
109200 659049 0.748349
109400 665821 0.749741
109600 664182 0.75233
109800 661448 0.750403
110000 666090 0.750892
110200 667138 0.752998
110400 667006 0.748081
110600 660873 0.750398
110800 662583 0.760581
111000 668682 0.757073
111200 664080 0.752085
111400 671368 0.757877
111600 667814 0.759947
111800 669462 0.756348
112000 671751 0.761877
112200 675146 0.762752
112400 676820 0.764749
112600 672866 0.759262
112800 673316 0.766671
113000 671328 0.757086
113200 673047 0.767444
113400 680922 0.761666
113600 677277 0.775681
113800 669564 0.771554
114000 682048 0.770638
114200 681621 0.77929
114400 679340 0.770955
114600 680470 0.778168
114800 684207 0.77069
115000 678919 0.777769
115200 685040 0.780421
115400 686864 0.782221
115600 682610 0.777631
115800 680461 0.780795
116000 691774 0.779601
116200 685092 0.778968
116400 684203 0.784928
116600 689120 0.780723
116800 689630 0.785144
117000 692431 0.782504
117200 688304 0.793212
117400 689975 0.780306
117600 689885 0.788207
117800 693125 0.785899
118000 688781 0.786909
118200 693615 0.793384
118400 693272 0.785688
118600 695160 0.79048
118800 698653 0.789831
119000 696842 0.793775
119200 693054 0.799309
119400 695836 0.791125
119600 694118 0.801706
119800 697695 0.797286
120000 691359 0.795943
120200 695593 0.80613
120400 700833 0.803916
120600 697308 0.804017
120800 704841 0.808254
121000 696408 0.807678
121200 699678 0.809375
121400 702352 0.81178
121600 700981 0.808042
121800 699971 0.814412
122000 705361 0.814248
122200 699391 0.810508
122400 708252 0.812521
122600 709943 0.81201
122800 710698 0.817056
123000 710360 0.814423
123200 704276 0.816575
123400 705480 0.823648
123600 709879 0.819302
123800 711740 0.808251
124000 711375 0.819033
124200 712299 0.823177
124400 701802 0.819839
124600 710440 0.820127
124800 714588 0.821582
125000 714421 0.827629
125200 712046 0.822887
125400 717244 0.827551
125600 716632 0.826622
125800 714029 0.8323
126000 719827 0.829538
126200 716927 0.829268
126400 718663 0.83097
126600 721605 0.836503
126800 719228 0.831961
127000 717784 0.830667
127200 713938 0.840257
127400 719662 0.831054
127600 721446 0.833704
127800 721758 0.837857
128000 726025 0.84473
128200 718446 0.838551
128400 723773 0.839291
128600 717167 0.850341
128800 723983 0.844098
129000 729036 0.839914
129200 731077 0.843493
129400 725423 0.844326
129600 726062 0.855382
129800 730406 0.842282
130000 731120 0.849419
130200 730192 0.857092
130400 731460 0.85136
130600 725147 0.855571
130800 735619 0.857622
131000 730245 0.852519
131200 733441 0.855488
131400 735237 0.861156
131600 735252 0.853879
131800 734932 0.861917
132000 733671 0.859642
132200 729252 0.861999
132400 738024 0.867893
132600 724083 0.862814
132800 739594 0.861041
133000 741956 0.864361
133200 739458 0.856571
133400 742418 0.866962
133600 742708 0.864037
133800 739258 0.862714
134000 738678 0.875004
134200 736797 0.870481
134400 744140 0.874546
134600 748282 0.87283
134800 745686 0.865924
135000 738196 0.88121
135200 738458 0.875185
135400 747517 0.873599
135600 746131 0.881256
135800 739441 0.877621
136000 745348 0.876032
136200 751343 0.87557
136400 747989 0.886445
136600 743549 0.877289
136800 751894 0.881643
137000 746331 0.885557
137200 753310 0.888328
137400 752951 0.885599
137600 749336 0.882421
137800 753893 0.881688
138000 756204 0.889845
138200 752002 0.891507
138400 751643 0.896504
138600 752399 0.886818
138800 759731 0.897499
139000 760116 0.891488
139200 757453 0.898454
139400 751159 0.892485
139600 753641 0.901613
139800 756521 0.90545
140000 756857 0.899628
140200 760191 0.902925
140400 764986 0.901483
140600 758593 0.89934
140800 764864 0.904325
141000 773060 0.895212
141200 764073 0.905696
141400 765278 0.909287
141600 764367 0.900059
141800 768873 0.908431
142000 768609 0.921676
142200 767944 0.910268
142400 762000 0.908496
142600 765673 0.914559
142800 770821 0.912342
143000 767180 0.908958
143200 769824 0.906666
143400 772368 0.916768
143600 774450 0.914929
143800 770787 0.915804
144000 770062 0.924736
144200 771823 0.923371
144400 766984 0.921465
144600 778241 0.921377
144800 776452 0.924789
145000 771264 0.920426
145200 777384 0.932407
145400 773512 0.925614
145600 781106 0.92768
145800 778015 0.92953
146000 771473 0.933535
146200 778192 0.928219
146400 778152 0.932395
146600 781304 0.926025
146800 778635 0.936605
147000 784470 0.934781
147200 784993 0.936879
147400 772889 0.939832
147600 779980 0.940866
147800 789835 0.934557
148000 783188 0.931474
148200 783135 0.941616
148400 784887 0.944175
148600 782996 0.937377
148800 787009 0.949988
149000 783730 0.942642
149200 787482 0.943734
149400 789629 0.948497
149600 782040 0.94579
149800 786958 0.951823
150000 785077 0.953036
150200 794734 0.951536
