# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum v_E
6080 3.04 -3.27516e-15 738.343 -4.43582e-18
6090 3.045 -3.27516e-15 738.343 -4.43582e-18
6100 3.05 -3.27516e-15 738.343 -4.43582e-18
6110 3.055 -3.27516e-15 738.343 -4.43582e-18
6120 3.06 -3.27516e-15 738.343 -4.43582e-18
6130 3.065 -3.27516e-15 738.343 -4.43582e-18
6140 3.07 -3.27516e-15 738.343 -4.43582e-18
6150 3.075 -3.27516e-15 738.343 -4.43582e-18
6160 3.08 -3.27516e-15 738.343 -4.43582e-18
6170 3.085 -3.27516e-15 738.343 -4.43582e-18
6180 3.09 -3.27516e-15 738.343 -4.43582e-18
6190 3.095 -3.27516e-15 738.343 -4.43582e-18
6200 3.1 -3.27516e-15 738.343 -4.43582e-18
6210 3.105 -3.27516e-15 738.343 -4.43582e-18
6220 3.11 -3.27516e-15 738.343 -4.43582e-18
6230 3.115 -3.27516e-15 738.343 -4.43582e-18
6240 3.12 -3.27516e-15 738.343 -4.43582e-18
6250 3.125 -3.27516e-15 738.343 -4.43582e-18
6260 3.13 -3.27516e-15 738.343 -4.43582e-18
6270 3.135 -3.27516e-15 738.343 -4.43582e-18
6280 3.14 -3.27516e-15 738.343 -4.43582e-18
6290 3.145 -3.27516e-15 738.343 -4.43582e-18
6300 3.15 -3.27516e-15 738.343 -4.43582e-18
6310 3.155 -3.27516e-15 738.343 -4.43582e-18
6320 3.16 -3.27516e-15 738.343 -4.43582e-18
6330 3.165 -3.27516e-15 738.343 -4.43582e-18
6340 3.17 -3.27516e-15 738.343 -4.43582e-18
6350 3.175 -3.27516e-15 738.343 -4.43582e-18
6360 3.18 -3.27516e-15 738.343 -4.43582e-18
6370 3.185 -3.27516e-15 738.343 -4.43582e-18
6380 3.19 -3.27516e-15 738.343 -4.43582e-18
6390 3.195 -3.27516e-15 738.343 -4.43582e-18
6400 3.2 -3.27516e-15 738.343 -4.43582e-18
6410 3.205 -3.27516e-15 738.343 -4.43582e-18
6420 3.21 -3.27516e-15 738.343 -4.43582e-18
6430 3.215 -3.27516e-15 738.343 -4.43582e-18
6440 3.22 -3.27516e-15 738.343 -4.43582e-18
6450 3.225 -3.27516e-15 738.343 -4.43582e-18
6460 3.23 -3.27516e-15 738.343 -4.43582e-18
6470 3.235 -3.27516e-15 738.343 -4.43582e-18
6480 3.24 -3.27516e-15 738.343 -4.43582e-18
6490 3.245 -3.27516e-15 738.343 -4.43582e-18
6500 3.25 -3.27516e-15 738.343 -4.43582e-18
6510 3.255 -3.27516e-15 738.343 -4.43582e-18
