# Time-averaged data for fix log
# TimeStep v_P v_V v_E
53000 1.7324 6682.23 0.00505474
53200 1.61787 6673.65 0.00480477
53400 1.62099 6665.36 0.00485481
53600 1.59139 6656.75 0.00482458
53800 1.70467 6647.67 0.0050287
54000 1.70636 6639.55 0.00506725
54200 1.84528 6633.58 0.00529383
54400 1.89297 6630.6 0.00542847
54600 1.79412 6631.69 0.0051938
54800 1.66696 6633.39 0.00495328
55000 1.77273 6633.1 0.00514714
55200 1.74096 6631.43 0.0050852
55400 1.81891 6629.82 0.00522699
55600 1.77179 6629.35 0.00511187
55800 1.74537 6629.07 0.0050729
56000 1.78202 6628.52 0.00523234
56200 1.69636 6627.39 0.0050156
56400 1.75816 6624.04 0.00511906
56600 1.61341 6618.53 0.00489639
56800 1.74598 6609.25 0.00507864
57000 1.81421 6596.76 0.00524875
57200 1.88091 6583.72 0.00546633
57400 1.88907 6572.98 0.00548965
57600 1.91808 6565.15 0.00544873
57800 1.90207 6559.93 0.00545549
58000 1.89707 6555.99 0.00549106
58200 1.91806 6552.31 0.00550463
58400 1.881 6549.69 0.00550333
58600 2.01557 6548.07 0.00567307
58800 2.11374 6548.66 0.00589447
59000 1.95268 6552.94 0.00562687
59200 1.85795 6557.43 0.00539256
59400 1.92707 6558.08 0.00548483
59600 1.88043 6555.15 0.00542857
59800 1.91123 6549.23 0.00540467
60000 2.0147 6541.3 0.00566477
60200 1.98376 6533.22 0.00562433
60400 2.01221 6523.93 0.00578708
60600 2.05281 6513.47 0.00580826
60800 1.97709 6502.94 0.00566143
61000 2.09601 6492.76 0.00590603
61200 2.00621 6484.74 0.00570339
61400 2.10929 6477.29 0.00597953
61600 2.03815 6470.15 0.00580379
61800 2.15787 6463.15 0.00602647
62000 2.15959 6458.47 0.00599622
62200 2.17289 6456.69 0.00607633
62400 2.1197 6458.37 0.00597385
62600 2.1695 6461.99 0.00602795
62800 2.10178 6465.71 0.00588892
63000 2.03037 6467.56 0.00580205
63200 2.10622 6466.47 0.00591634
63400 2.17418 6462.92 0.00607096
63600 2.20097 6459 0.00616307
63800 2.12373 6456.23 0.0060215
64000 2.16898 6453.16 0.00603851
64200 2.21173 6448.77 0.00612255
64400 2.28694 6442.8 0.00631761
64600 2.18492 6436.6 0.0060838
64800 2.17152 6429.92 0.00607735
65000 2.21717 6423.24 0.00619127
65200 2.1988 6417.03 0.00613978
65400 2.275 6409.76 0.00633308
