# Time-averaged data for fix logger
# TimeStep v_P c_Fobs c_Fsum
118000 69411.2 -8.32667e-16 97.9545
118500 69009.1 4.44089e-16 108.386
119000 62096.9 -3.08087e-15 107.665
119500 59054.9 -8.88178e-16 97.4146
120000 56646.5 2.10942e-15 104.619
120500 50350.1 -2.77556e-16 104.791
121000 44974.5 1.16573e-15 101.316
121500 46638.8 2.55351e-15 106.388
122000 56172.2 -4.44089e-16 103.357
122500 56875.3 3.88578e-16 103.397
123000 57321.4 -1.9984e-15 100.058
123500 62359.8 1.11022e-15 116.244
124000 67744.7 1.66533e-16 108.843
124500 73881.3 -6.93889e-17 106.048
125000 69529.1 1.94289e-16 99.8263
125500 67457.6 4.44089e-16 99.7313
126000 60461.9 2.08167e-16 111.011
126500 61846.3 5.55112e-16 104.248
127000 58241.5 9.4369e-16 103.585
127500 55989.6 -2.498e-15 102.912
128000 40512.7 7.35523e-16 98.5755
128500 48897.9 1.33227e-15 103.024
129000 59222.7 1.66533e-16 98.8213
129500 64841.4 -3.33067e-16 104.667
130000 64662.1 1.11022e-15 104.867
130500 67766.8 1.11022e-15 105.629
131000 69244.7 -2.10942e-15 107.355
131500 66417 2.22045e-15 97.6257
132000 62325.7 1.08247e-15 107.165
132500 53438 2.13718e-15 90.7284
133000 52171.8 2.08167e-16 103.338
133500 58340.5 7.77156e-16 98.3867
134000 60483.6 2.05391e-15 102.81
134500 66143.5 4.69069e-15 109.4
135000 77471.9 -7.49401e-16 115.371
135500 86863.4 -3.38618e-15 105.08
136000 72189.4 -2.55351e-15 99.7304
136500 68726.1 -1.22125e-15 106.453
137000 67161.7 -1.56819e-15 104.359
137500 61200.8 7.77156e-16 104.826
138000 56571.4 -4.44089e-16 103.889
138500 58577.3 6.38378e-16 106.627
139000 65727.2 1.4988e-15 106.228
139500 66088 4.16334e-17 107.205
140000 75405.4 3.55271e-15 100.886
140500 78248.7 6.93889e-16 106.88
141000 72084.3 -2.38698e-15 104.149
141500 72465.3 2.33147e-15 95.6873
142000 70950.2 -4.44089e-16 109.096
142500 58306.1 -1.7486e-15 102.769
143000 55127 -1.60288e-15 101.372
143500 62855 1.77636e-15 108.553
144000 67344 3.88578e-16 104.858
144500 73961.4 6.66134e-16 108.321
145000 80340.3 3.21965e-15 97.9529
145500 83277.1 2.28983e-15 103.343
146000 69867.6 -1.44329e-15 105.622
146500 62052.4 -2.10942e-15 96.7515
147000 67449.3 -4.44089e-16 99.6487
147500 70462.8 -8.88178e-16 100.782
148000 75299.5 -1.04083e-15 111.789
148500 86053.7 -1.88738e-15 105.847
149000 83396.7 -1.38778e-16 96.5862
149500 74427.2 -1.94289e-15 105.383
150000 71323.7 4.996e-16 104.011
150500 71086.7 -1.22125e-15 110.329
151000 72988.4 2.10942e-15 108.982
151500 72577 1.47105e-15 95.9474
152000 75914.8 -2.498e-16 105.205
152500 81561.2 1.02696e-15 106.278
153000 81034.9 -1.15186e-15 103.06
153500 70205.2 2.22045e-15 104.996
154000 66271 -2.44249e-15 102.81
154500 72929 4.10783e-15 109.382
155000 76535.1 -2.41474e-15 104.141
155500 74377.7 -7.77156e-16 112.124
156000 74848.7 -1.11022e-15 97.3714
156500 80658.1 -2.66454e-15 106.938
157000 83871.7 1.11022e-16 96.0603
157500 78221.4 1.77636e-15 104.12
158000 66194.1 -5.55112e-17 92.772
158500 70935.3 -1.11022e-15 101.314
159000 72282.6 1.249e-15 105.39
159500 76081.6 1.26288e-15 101.25
160000 85580.7 2.22045e-16 108.996
160500 95826.3 -5.55112e-16 108.476
161000 89086.7 8.32667e-16 105.692
161500 75699.6 -1.9984e-15 97.5515
162000 72976.2 1.9984e-15 97.6139
162500 73281.8 2.22045e-16 109.603
163000 78894.1 -2.66454e-15 98.2681
163500 89618 2.44249e-15 101.711
164000 92187.4 -1.05471e-15 100.197
164500 85193.9 -3.83027e-15 103.116
165000 87974.4 -2.60902e-15 103.578
165500 81391.3 8.32667e-16 109.776
166000 69054.7 -8.88178e-16 103.108
166500 65332.3 -1.33227e-15 96.9672
167000 79005.9 -1.11022e-15 102.915
167500 88799.7 -1.55431e-15 93.6054
168000 88532.1 3.44169e-15 100.692
168500 82997 -1.55431e-15 107.621
169000 71280.1 8.88178e-16 99.4457
169500 70888.7 3.05311e-16 104.064
170000 82027.5 -1.9984e-15 103.589
170500 83102.3 -2.94209e-15 103.634
171000 88567.1 9.99201e-16 100.269
171500 90648.5 -2.34535e-15 105.995
172000 83497.9 8.32667e-16 107.881
172500 74387.8 -4.44089e-16 102.269
173000 81393.7 -1.9984e-15 108.864
173500 84674.9 -9.4369e-16 100.401
174000 92483.1 -1.33227e-15 101.364
174500 94758 1.33227e-15 101.981
175000 87787.5 -6.10623e-16 107.685
175500 74805.1 2.10942e-15 104.586
176000 79472.8 1.33227e-15 99.2429
176500 83220 -3.88578e-16 109.424
177000 87961 1.44329e-15 102.177
177500 91994.2 9.4369e-16 104.078
178000 90593.1 1.66533e-16 108.852
178500 79504.8 -1.11022e-16 101.844
179000 80746.2 3.83027e-15 99.7416
179500 88592.2 7.77156e-16 92.4866
180000 94233.4 5.55112e-17 96.4182
180500 90857.5 3.34455e-15 98.9746
181000 78041.3 -2.22045e-16 107.288
181500 76093.7 1.59595e-15 104.278
182000 90322.3 -8.32667e-16 98.7773
182500 95849.1 7.21645e-16 109.3
183000 93053.6 -8.88178e-16 102.917
183500 87267 2.22045e-16 98.8701
184000 84632.9 2.498e-15 98.746
184500 84772.3 4.996e-16 95.9807
185000 98906.9 -5.55112e-16 111.001
185500 101653 1.44329e-15 105.917
186000 92178.4 1.83187e-15 107.596
186500 91706.4 -6.66134e-16 99.7439
187000 90562.5 8.88178e-16 102.939
187500 91195.4 3.60822e-16 100.879
188000 94276.2 -1.33227e-15 104.894
188500 97146.8 9.99201e-16 95.3912
189000 100598 -9.99201e-16 107.813
189500 83474.4 1.60982e-15 107.987
190000 82211.6 -7.77156e-16 104.341
190500 91521.6 1.66533e-16 111.093
191000 100454 -2.33147e-15 102.852
191500 98827.2 -1.88738e-15 99.4657
192000 93793.1 -1.05471e-15 109.422
192500 94244.1 1.88738e-15 105.684
193000 91003.1 5.55112e-17 110.213
193500 93647.4 -1.36002e-15 109.92
194000 102039 1.4988e-15 110.437
194500 113696 4.44089e-16 112.502
195000 103688 1.33227e-15 97.7958
195500 95082.8 -2.33147e-15 102.325
196000 96302.8 8.88178e-16 103.915
196500 102249 2.66454e-15 106.472
197000 99522.7 -1.94289e-15 100.393
197500 90772.4 2.77556e-16 103.899
198000 84294.2 2.22045e-16 107.134
198500 99704.5 -2.22045e-16 104.484
199000 103320 5.55112e-16 106.141
199500 98178.4 7.21645e-16 103.26
200000 93528.3 3.88578e-16 104.167
200500 87536.1 -8.95117e-16 104.331
201000 105109 1.22125e-15 101.168
201500 106857 1.11022e-16 105.363
202000 101689 1.27676e-15 97.296
202500 98780.8 -8.88178e-16 106.307
203000 99637.4 -1.36002e-15 101.725
203500 104034 -3.38618e-15 107.755
204000 112232 1.44329e-15 103.544
204500 103265 1.77636e-15 102.677
205000 92470 -2.498e-15 105.634
205500 99144.1 -6.66134e-16 95.5652
206000 112645 0 107.856
206500 115675 1.9984e-15 101.855
207000 94484.6 -1.63758e-15 105.726
207500 94570.7 7.77156e-16 102.103
208000 101738 3.33067e-16 104.633
208500 108614 1.32533e-15 104.098
209000 103076 -4.44089e-16 96.3148
209500 99034.6 -6.38378e-16 104.397
210000 101423 1.249e-15 114.576
210500 115808 -6.77236e-15 108.578
211000 120187 -7.77156e-16 107.346
211500 103337 5.55112e-17 105.563
212000 102261 -1.33227e-15 111.596
212500 106928 -6.245e-16 102.089
213000 113845 1.94289e-15 110.493
213500 108399 -1.9984e-15 101.124
214000 95470.7 4.44089e-16 111.1
214500 99055.9 -3.55271e-15 106.099
215000 113266 1.44329e-15 104.171
215500 113290 4.44089e-16 106.358
216000 107598 -2.22045e-16 100.791
216500 102848 -2.67841e-15 114.586
217000 111417 -2.23432e-15 101.153
217500 122529 8.88178e-16 103.755
218000 110000 -8.88178e-16 107.526
218500 101723 1.16573e-15 112.567
219000 105806 -9.99201e-16 111.63
219500 113601 1.55431e-15 109.32
220000 117773 -3.46945e-16 102.292
220500 106848 0 104.249
221000 98240.2 1.44329e-15 101.974
221500 110658 -1.11022e-15 109.398
222000 115150 -3.19189e-16 110.201
222500 112102 -1.60982e-15 111.08
223000 107488 0 108.248
223500 104651 1.27676e-15 111.972
224000 119581 -5.55112e-16 110.096
224500 122061 2.22045e-16 101.631
225000 105270 4.16334e-15 107.93
225500 106955 1.55431e-15 99.3226
226000 113458 3.19189e-15 104.816
226500 117956 1.55431e-15 107.486
227000 110641 -1.16573e-15 105.994
227500 92377.1 -1.83187e-15 101.964
228000 112054 -1.88738e-15 106.539
228500 120315 2.77556e-16 105.198
229000 114938 -2.22045e-16 105.199
229500 104829 1.22125e-15 108.843
230000 103575 1.92901e-15 103.038
230500 124515 3.33067e-16 103.362
231000 120010 -4.44089e-16 103.484
231500 110821 2.22045e-16 112.989
232000 108554 1.11022e-16 98.0433
232500 120837 -1.11022e-16 106.259
233000 119403 -5.55112e-16 103.753
233500 95553.5 1.33227e-15 106.824
234000 112979 -7.77156e-16 107.764
234500 124470 -5.55112e-17 104.009
235000 122030 -3.3723e-15 107.939
235500 109723 1.11022e-16 97.9865
236000 116381 1.80411e-16 109.329
236500 126155 -2.20657e-15 112.799
237000 125561 4.02456e-15 106.198
237500 105455 4.44089e-16 107.773
238000 111663 -2.2482e-15 105.759
238500 120188 2.77556e-16 116.884
239000 117715 3.33067e-16 113.382
239500 111702 -9.71445e-16 108.488
240000 115814 -1.47105e-15 109.995
240500 128539 2.498e-15 103.527
241000 125197 -3.21965e-15 107.801
241500 112219 -1.15186e-15 99.1466
242000 119325 -2.22045e-16 110.509
242500 141337 1.44329e-15 106.418
243000 122161 -1.16573e-15 106.08
243500 114619 1.11022e-15 103.652
244000 120158 -3.88578e-16 106.164
244500 129869 -9.4369e-16 103.232
245000 122933 1.11022e-15 104.734
245500 105874 2.23432e-15 105.988
246000 123322 -1.76248e-15 105.634
246500 129911 -4.44089e-16 108.239
247000 123644 2.22045e-16 101.996
247500 108490 4.44089e-16 99.5831
248000 125827 -2.77556e-16 112.031
248500 130128 3.33067e-16 109.579
249000 124277 -2.19269e-15 118.456
249500 118722 -1.94289e-15 103.029
250000 126429 2.77556e-17 111.781
250500 140941 -5.55112e-16 112.41
251000 121559 -1.9984e-15 118.412
251500 121288 -6.66134e-16 102.385
252000 127352 -1.63758e-15 107.859
252500 132056 -2.10942e-15 106.684
253000 114896 1.11022e-16 102.947
253500 117812 4.996e-16 108.324
254000 139529 -2.08167e-15 104.093
254500 128157 1.11022e-16 112.275
255000 119596 -8.18789e-16 105.115
255500 126053 1.66533e-15 109.371
256000 147251 -1.44329e-15 109.553
256500 129970 1.11022e-16 105.584
257000 126948 -3.60822e-16 103.015
257500 131197 -8.32667e-16 102.867
258000 142012 1.11022e-15 101.35
258500 124050 1.9984e-15 102.578
259000 121387 1.11022e-15 107.953
259500 132540 8.88178e-16 108.016
260000 134475 -3.33067e-16 110.944
