# Time-averaged data for fix logger
# TimeStep v_P c_Fsum v_EE
89500 40154.5 96.781 53376.8
90000 37107.3 102.754 46521.9
90500 32997.9 102.685 41464.6
91000 38859.7 100.407 49836.2
91500 42036.2 95.8934 56364.7
92000 42627.6 105.937 51745.1
92500 36867.5 101.035 47001.1
93000 34641.2 110.973 40262.4
93500 29750.9 102.537 37467.9
94000 33462.8 100.423 42988.9
94500 41399.1 104.288 51059.7
95000 45913.6 101.295 58187
95500 48470.9 107.444 57868.7
96000 45252.5 110.233 52733.2
96500 44031.8 100.203 56451.8
97000 41006.6 99.3617 53071.8
97500 41327.5 98.9613 53681.4
98000 38749.4 100.316 49726.6
98500 43008.4 96.352 57366.2
99000 43742.1 100.949 55662.8
99500 44488.5 101.359 56374.2
100000 43692.6 102.373 54839.2
100500 38637.9 98.3005 50579.3
101000 42588.4 102.666 53307.7
101500 43462.9 101.709 54911.4
102000 44490.9 115.117 49665.7
102500 50100.1 104.978 61169.2
103000 54810.8 99.8057 70250.4
103500 51075.5 107.022 61120.7
104000 54267.7 104.416 66500.1
104500 54180.1 100.984 68648.1
105000 56846.9 100.294 72428
105500 63994.8 98.7138 82636.8
106000 61049.1 106.239 73358.7
106500 55417.7 91.3718 77568.8
107000 50055.4 102.447 62590.7
107500 48845.2 100.012 62624.5
108000 47057.9 94.3642 63955.8
108500 41894.6 106.028 50805
109000 41043.2 104.986 50276.3
109500 39696.1 97.9215 52130.2
110000 46415.6 95.7963 62169.7
110500 48446.3 105.666 58811.4
111000 50598.8 96.3601 67273.1
111500 50724.3 99.8985 65065.2
112000 52125.7 94.5644 70582.6
112500 51159.4 102.458 63975.3
113000 49182.5 103.603 60868.7
113500 53727.3 99.2379 69302.9
114000 54665.8 114.646 61044.3
114500 50055.9 102.308 62680.5
115000 52121.8 100.227 66608
115500 54174.3 101.828 68067
116000 59800.1 108.412 70431.4
116500 64336.4 109.254 75072.4
117000 67691.1 99.0534 86967
117500 70746 110.848 81236.1
118000 62687.7 99.9367 79999.7
118500 60410 103.341 74632.4
119000 58406.5 105.222 70926.2
119500 55018.6 101.924 69006
120000 52947.5 102.754 65941.9
120500 46962.4 100.056 60200.7
121000 48646.9 100.914 61798.9
121500 51414.4 108.076 60918.6
122000 55392.1 98.4127 71965.9
122500 54788.6 104.019 67354.1
123000 53689.8 103.66 66260.4
123500 62005 97.1747 81404
124000 64347.4 94.2626 86979.3
124500 67349 105.261 81457.9
125000 74320.8 93.5924 100825
125500 73139.8 115.923 80175.1
126000 64637 100.069 82323.9
126500 61420.8 111.486 70318.5
127000 57500.7 97.4025 75434.8
127500 54649.3 111.829 62517.7
128000 42531.3 96.2834 56764.7
128500 51132.1 104.222 62873.6
129000 57679.2 95.8651 76864.2
129500 63513.4 105.796 76564.1
130000 64372.7 98.3914 83399.6
130500 64703.9 102.694 80285.3
131000 76003.2 101.267 95266.4
131500 78012.1 103.76 95361.9
132000 70979.5 104.842 86090.8
132500 65488.7 101.834 81932.3
133000 65529.4 105.822 78906.8
133500 66240.2 107.41 78574.9
134000 66711.1 97.3857 87236.7
134500 60941.5 104.98 74123.5
135000 60094.5 103.929 73824.2
135500 63892.1 100.109 81353.5
136000 62908 104.338 76917.3
136500 61172.4 99.9763 78081.3
137000 65337.4 97.3383 85541.9
137500 67799.1 113.012 76395.3
138000 71975.2 104.305 87728.6
138500 72308.7 108.953 84364.5
139000 75039.9 99.3435 95898
139500 72130.3 107.836 85056.2
140000 63801.5 95.277 85417.6
140500 64595.7 109.143 75465.9
141000 64351.9 101.113 81126.1
141500 65291.3 105.354 79018.9
142000 63758.4 105.075 77398.1
142500 61738.4 103.128 76407.6
143000 73365.4 106.624 87487.3
143500 75778 99.948 96267.9
144000 75385.1 101.674 94150.1
144500 77312 99.2213 98864.4
145000 71809.8 107.516 84938.1
145500 64211.8 97.4298 84013.3
146000 62530.6 110.951 71908.3
146500 61832.2 101.101 78013.2
147000 53543.4 101.28 67688.4
147500 73301.5 103.007 90431.3
148000 76808.1 108.892 89533.8
148500 77502.5 103.854 94697.2
149000 76368.3 102.693 94405.2
149500 68689 110.349 79251.8
150000 62500.5 101.463 78625.5
150500 61688.8 100.775 78122.7
151000 63905 107.828 75599.6
151500 73712 108.034 86708
152000 80999.1 111.284 92257.1
152500 77013.8 104.597 93434.3
153000 76383.8 104.378 92873.9
153500 82673.1 107.976 96993.7
154000 78761.6 103.461 96501
154500 65652 113.953 73429.3
155000 64796.3 104.55 78996.7
155500 71656.3 114.726 79441.2
156000 75121.9 103.366 92292.1
156500 77422.5 106.463 92267.7
157000 83884.3 106.988 99296.9
157500 85027.5 108.844 98915.1
158000 78770.1 106.102 94151.9
158500 69421.7 113.487 77886.6
159000 69328.1 105.515 83593.3
159500 76061.9 112.105 86105.9
160000 81416.5 106.125 97190.9
160500 86010 97.1606 111942
161000 88459.1 103.368 108186
161500 73067.3 100.281 92599.7
162000 70430.3 109.801 81619.2
162500 73914.9 113.289 82939.6
163000 80337.5 106.979 95236.7
163500 87792.2 109.916 101010
164000 96843.5 106.604 114480
164500 88381.5 108.316 103163
165000 78722.7 105.584 94572.3
165500 76888.2 105.062 92895.6
166000 71742.5 101.357 89980.3
166500 77862.2 100.661 98116.6
167000 88869.4 103.143 108880
167500 91388.7 103.755 111209
168000 84941.3 106.24 101161
168500 80876.1 102.349 100112
169000 69966.6 107.084 83161.1
169500 67737.5 108.535 79532
170000 83364.1 103.146 102356
170500 87972.3 101.865 109177
171000 90569.7 109.998 103961
171500 84922.5 111.896 96054.9
172000 73228.6 98.2499 94701.7
172500 69309.9 106.992 82473.2
173000 82165.1 100.434 103620
173500 88646.2 104.351 107338
174000 87924.8 97.4166 114074
174500 88582.5 109.489 102223
175000 84263.7 112.052 95194.5
175500 77276.9 104.665 93686.8
176000 76309.6 102.11 94825.7
176500 89916.6 103.522 109697
177000 94111.5 107.56 110327
177500 89691.1 106.331 106526
178000 90042.2 101.577 111939
178500 90570.7 107.969 105923
179000 87622.4 105.213 105241
179500 83054.5 111.126 94640.9
180000 78597.3 101.848 97858.3
180500 88206.3 106.399 104785
181000 99423.9 96.4543 129730
181500 97618.2 100.412 122482
182000 87093.4 109.081 100983
182500 78054.3 101.796 97263.7
183000 81358.6 99.0034 104080
183500 90557.5 100.132 114156
184000 90279.3 104.561 109010
184500 92447.7 101.354 115133
185000 90355.1 108.585 105135
185500 81396 100.025 103104
186000 79352.2 107.623 93484.5
186500 96558.1 112.45 108274
187000 100058 107.283 117391
187500 92474 110.812 105344
188000 87871.6 103.378 107434
188500 89677.1 109.443 103514
189000 93192.1 104.989 111972
189500 94954.8 110.84 108029
190000 88506.9 111.6 100230
190500 83675.9 107.948 98143.4
191000 95012.2 110 108954
191500 106526 104.68 127769
192000 97364.8 105.031 116803
192500 92283.4 106.041 109849
193000 92148.6 107.277 108449
193500 94549.9 99.1985 120156
194000 107826 99.6608 135779
194500 105284 107.006 123613
195000 92915 105.212 111418
195500 89191 104.068 108278
196000 96451.7 107.322 113269
196500 99771.3 103.168 121763
197000 97487.7 102.738 119500
197500 94336.5 104.84 113475
198000 88199.2 103.608 107618
198500 90453.2 103.582 110271
199000 103533 102.584 126897
199500 106793 110.658 121222
200000 98211.5 109.715 112791
200500 93540.4 109.597 107712
201000 93133.9 106.691 110190
201500 102072 95.1257 134967
