# Time-averaged data for fix logger
# TimeStep c_Fobs c_Fsum c_Tglob
62000 3.2 443710 0.506818
62200 3.2 446973 0.511244
62400 3.2 452830 0.508967
62600 3.2 448765 0.514761
62800 3.2 446726 0.516412
63000 3.2 447470 0.513135
63200 3.2 452265 0.515456
63400 3.2 453250 0.517845
63600 3.2 451730 0.515127
63800 3.2 459131 0.518956
64000 3.2 454086 0.517469
64200 3.2 457742 0.524799
64400 3.2 455934 0.519043
64600 3.2 459797 0.52209
64800 3.2 458552 0.523518
65000 3.2 458130 0.524356
65200 3.2 461523 0.525419
65400 3.2 460581 0.526778
65600 3.2 460244 0.530144
65800 3.2 463368 0.527853
66000 3.2 462111 0.533569
66200 3.2 463409 0.530711
66400 3.2 461593 0.529953
66600 3.2 465611 0.534292
66800 3.2 462168 0.53219
67000 3.2 466485 0.53701
67200 3.2 466839 0.534879
67400 3.2 466293 0.538073
67600 3.2 469790 0.539203
67800 3.2 467035 0.536028
68000 3.2 472018 0.537371
68200 3.2 472464 0.540404
68400 3.2 475075 0.546288
68600 3.2 473114 0.543126
68800 3.2 474032 0.543559
69000 3.2 474164 0.542782
69200 3.2 477496 0.546867
69400 3.2 476801 0.546912
69600 3.2 476417 0.543804
69800 3.2 477000 0.551303
70000 3.2 480891 0.547182
70200 3.2 480013 0.554495
70400 3.2 479950 0.549917
70600 3.2 484523 0.550595
70800 3.2 485928 0.555399
71000 3.2 483848 0.553483
71200 3.2 488995 0.552578
71400 3.2 490228 0.556946
71600 3.2 487719 0.557692
71800 3.2 487186 0.559614
72000 3.2 492905 0.559307
72200 3.2 494893 0.562581
72400 3.2 491956 0.562331
72600 3.2 493336 0.561984
72800 3.2 494809 0.563885
73000 3.2 495558 0.570165
73200 3.2 492224 0.563174
73400 3.2 499481 0.565978
73600 3.2 502060 0.568186
73800 3.2 504263 0.572831
74000 3.2 500489 0.570506
74200 3.2 503600 0.571275
74400 3.2 507785 0.570084
74600 3.2 512485 0.576074
74800 3.2 505733 0.574324
75000 3.2 504372 0.577109
75200 3.2 510605 0.574639
75400 3.2 512592 0.581242
75600 3.2 517088 0.574611
75800 3.2 514324 0.570831
76000 3.2 509843 0.581896
76200 3.2 519084 0.582023
76400 3.2 517115 0.583739
76600 3.2 520760 0.585225
76800 3.2 518453 0.581521
77000 3.2 525687 0.586676
77200 3.2 525026 0.58475
77400 3.2 527991 0.586415
77600 3.2 528577 0.589698
77800 3.2 526828 0.584822
78000 3.2 528239 0.591616
78200 3.2 536068 0.589258
78400 3.2 531424 0.594207
78600 3.2 536458 0.589227
78800 3.2 536813 0.595738
79000 3.2 537026 0.595482
79200 3.2 541622 0.59632
79400 3.2 544898 0.589598
79600 3.2 541378 0.597879
79800 3.2 541808 0.599644
80000 3.2 543079 0.602473
80200 3.2 543771 0.603213
80400 3.2 544582 0.607272
80600 3.2 545577 0.599318
80800 3.2 549291 0.603814
81000 3.2 553840 0.602446
81200 3.2 552064 0.605268
81400 3.2 551835 0.603967
81600 3.2 554371 0.611401
81800 3.2 553746 0.604866
82000 3.2 553100 0.612193
82200 3.2 554930 0.609004
82400 3.2 561134 0.61154
82600 3.2 562733 0.60901
82800 3.2 568857 0.61323
83000 3.2 559007 0.616999
83200 3.2 560735 0.614547
83400 3.2 560952 0.615124
83600 3.2 561449 0.622506
83800 3.2 570550 0.61547
84000 3.2 570497 0.61874
84200 3.2 564387 0.618564
84400 3.2 569123 0.622111
84600 3.2 568760 0.624685
84800 3.2 570949 0.626099
85000 3.2 571442 0.625619
85200 3.2 573839 0.61897
85400 3.2 574847 0.625337
85600 3.2 579308 0.624578
85800 3.2 581291 0.630312
86000 3.2 581863 0.628111
86200 3.2 577530 0.630166
86400 3.2 575803 0.637536
86600 3.2 583241 0.640994
86800 3.2 577826 0.636263
87000 3.2 582731 0.636126
87200 3.2 585750 0.634825
87400 3.2 584077 0.629324
87600 3.2 583275 0.638666
87800 3.2 581353 0.644083
88000 3.2 583288 0.64581
88200 3.2 587347 0.638418
88400 3.2 585737 0.644802
88600 3.2 589155 0.645213
88800 3.2 587551 0.642993
89000 3.2 594435 0.647933
89200 3.2 592054 0.645915
89400 3.2 590057 0.648159
89600 3.2 590574 0.648512
89800 3.2 597344 0.650085
90000 3.2 599986 0.644403
90200 3.2 593668 0.652099
90400 3.2 595637 0.653107
90600 3.2 596455 0.647728
90800 3.2 595555 0.654014
91000 3.2 600900 0.650659
91200 3.2 599794 0.657575
91400 3.2 596527 0.652072
91600 3.2 596787 0.659929
91800 3.2 603690 0.657
92000 3.2 606267 0.665375
92200 3.2 596619 0.666995
92400 3.2 604683 0.660141
92600 3.2 607402 0.66222
92800 3.2 607842 0.66619
93000 3.2 604785 0.666681
93200 3.2 607198 0.665315
93400 3.2 610487 0.668304
93600 3.2 609789 0.664644
93800 3.2 612170 0.672846
94000 3.2 611059 0.673042
94200 3.2 608624 0.668206
94400 3.2 614593 0.669131
94600 3.2 612855 0.67595
94800 3.2 611596 0.666979
95000 3.2 609755 0.67548
95200 3.2 616046 0.675631
95400 3.2 617767 0.679543
95600 3.2 612117 0.675622
95800 3.2 616550 0.679543
96000 3.2 616804 0.680157
96200 3.2 620280 0.682813
96400 3.2 617226 0.684109
96600 3.2 621752 0.67748
96800 3.2 619216 0.68639
97000 3.2 621203 0.686142
97200 3.2 624342 0.683916
97400 3.2 622525 0.682402
97600 3.2 626029 0.690839
97800 3.2 627917 0.68495
98000 3.2 628794 0.691002
98200 3.2 626781 0.689414
98400 3.2 625269 0.687985
98600 3.2 623588 0.691489
98800 3.2 627989 0.69724
99000 3.2 627206 0.69029
99200 3.2 623548 0.697598
99400 3.2 631847 0.697922
99600 3.2 632777 0.70473
99800 3.2 631895 0.697219
100000 3.2 634398 0.693904
100200 3.2 634492 0.704693
100400 3.2 631938 0.702032
100600 3.2 632234 0.702486
100800 3.2 637574 0.708165
101000 3.2 637633 0.701378
101200 3.2 635686 0.706631
101400 3.2 640653 0.709404
101600 3.2 635112 0.707597
101800 3.2 636343 0.707817
102000 3.2 640823 0.714596
102200 3.2 638586 0.710955
102400 3.2 645271 0.713511
102600 3.2 638374 0.711687
102800 3.2 641664 0.715659
103000 3.2 643738 0.720445
103200 3.2 647132 0.719851
103400 3.2 640511 0.716065
103600 3.2 644916 0.71939
103800 3.2 647064 0.718777
104000 3.2 643350 0.721678
104200 3.2 650315 0.724493
104400 3.2 642440 0.722836
104600 3.2 645974 0.723584
104800 3.2 648742 0.722241
105000 3.2 651655 0.729113
105200 3.2 649100 0.724447
105400 3.2 650305 0.733337
105600 3.2 649634 0.72819
105800 3.2 646859 0.72713
106000 3.2 650849 0.731698
106200 3.2 651439 0.733609
106400 3.2 653079 0.735962
106600 3.2 650946 0.728899
106800 3.2 652972 0.735978
107000 3.2 650564 0.736568
107200 3.2 653735 0.736586
107400 3.2 654022 0.741157
107600 3.2 656717 0.736229
107800 3.2 659083 0.735065
108000 3.2 659484 0.746838
108200 3.2 662422 0.733278
108400 3.2 658368 0.742653
108600 3.2 664666 0.73939
108800 3.2 663748 0.745945
109000 3.2 659234 0.739634
109200 3.2 665486 0.74389
109400 3.2 664228 0.747487
109600 3.2 672768 0.752006
109800 3.2 662967 0.746204
110000 3.2 663026 0.754354
110200 3.2 665478 0.75373
110400 3.2 671978 0.755363
110600 3.2 667795 0.751566
110800 3.2 665297 0.756249
111000 3.2 667675 0.757421
111200 3.2 672055 0.749732
111400 3.2 674494 0.752432
111600 3.2 670183 0.756758
111800 3.2 668782 0.766798
112000 3.2 669296 0.76272
112200 3.2 678860 0.756657
112400 3.2 676336 0.768493
112600 3.2 675158 0.759913
112800 3.2 675176 0.765293
113000 3.2 677518 0.767609
113200 3.2 675136 0.759618
113400 3.2 676953 0.76811
113600 3.2 677291 0.767008
113800 3.2 674098 0.763699
114000 3.2 677474 0.771896
114200 3.2 677597 0.772127
114400 3.2 681426 0.770038
114600 3.2 684532 0.770222
114800 3.2 678398 0.779407
115000 3.2 682566 0.772699
115200 3.2 684879 0.779179
115400 3.2 682880 0.779228
115600 3.2 686126 0.775131
115800 3.2 687651 0.776756
116000 3.2 682792 0.784114
116200 3.2 683467 0.776358
116400 3.2 688804 0.781983
116600 3.2 692094 0.781281
116800 3.2 687757 0.791334
117000 3.2 692142 0.788012
117200 3.2 685004 0.783641
117400 3.2 692197 0.788926
117600 3.2 687299 0.781423
117800 3.2 690980 0.788482
118000 3.2 684626 0.795227
118200 3.2 689583 0.789321
118400 3.2 694631 0.794746
118600 3.2 691378 0.79241
118800 3.2 692058 0.795759
119000 3.2 691532 0.799538
119200 3.2 685213 0.790358
119400 3.2 698701 0.794954
119600 3.2 696392 0.799006
119800 3.2 694181 0.791424
120000 3.2 700622 0.800202
120200 3.2 694392 0.802414
120400 3.2 697343 0.803288
120600 3.2 699276 0.805256
120800 3.2 697416 0.804185
121000 3.2 700946 0.797812
121200 3.2 706261 0.804428
121400 3.2 700570 0.80367
121600 3.2 700538 0.805034
121800 3.2 707487 0.810027
122000 3.2 701584 0.808929
122200 3.2 703072 0.803005
122400 3.2 703213 0.815762
122600 3.2 700063 0.815174
122800 3.2 703553 0.805321
123000 3.2 708641 0.81535
123200 3.2 712937 0.815743
123400 3.2 700534 0.815006
123600 3.2 705940 0.815802
123800 3.2 713772 0.818006
124000 3.2 710479 0.817719
124200 3.2 713911 0.823741
124400 3.2 712320 0.814838
124600 3.2 710277 0.825561
124800 3.2 711722 0.824085
125000 3.2 709503 0.814035
125200 3.2 716945 0.820099
125400 3.2 716879 0.828592
125600 3.2 715354 0.822613
125800 3.2 719061 0.83223
126000 3.2 712592 0.829596
126200 3.2 711645 0.821425
126400 3.2 716211 0.83273
126600 3.2 719094 0.833083
126800 3.2 712438 0.836575
127000 3.2 724595 0.836925
127200 3.2 715066 0.835919
127400 3.2 721534 0.834205
127600 3.2 716933 0.841581
127800 3.2 719705 0.83578
128000 3.2 724608 0.842134
128200 3.2 725673 0.842656
128400 3.2 723837 0.834193
128600 3.2 723347 0.845066
128800 3.2 725343 0.838385
129000 3.2 725630 0.849393
129200 3.2 724065 0.848306
129400 3.2 722528 0.846551
129600 3.2 729415 0.851999
129800 3.2 728827 0.84581
130000 3.2 731240 0.850775
130200 3.2 727206 0.850748
130400 3.2 725904 0.859131
130600 3.2 723778 0.848784
130800 3.2 733820 0.850834
131000 3.2 733279 0.856189
131200 3.2 733625 0.853351
131400 3.2 733484 0.858707
131600 3.2 734819 0.86074
131800 3.2 735752 0.849485
132000 3.2 734517 0.858934
132200 3.2 735596 0.87014
132400 3.2 733954 0.862508
132600 3.2 740355 0.861707
132800 3.2 737848 0.870851
133000 3.2 737021 0.858392
133200 3.2 736495 0.866261
133400 3.2 742275 0.866707
133600 3.2 734936 0.864838
133800 3.2 743336 0.862786
134000 3.2 743176 0.86734
134200 3.2 745213 0.872053
134400 3.2 747183 0.871441
134600 3.2 737370 0.870714
134800 3.2 741944 0.876362
135000 3.2 742288 0.874859
135200 3.2 753025 0.881021
135400 3.2 741388 0.879139
135600 3.2 742744 0.877012
135800 3.2 747483 0.879889
136000 3.2 747317 0.882173
136200 3.2 748905 0.881603
136400 3.2 748737 0.883343
136600 3.2 750652 0.874958
136800 3.2 745346 0.888317
137000 3.2 753417 0.884268
137200 3.2 754061 0.88479
137400 3.2 751314 0.890704
137600 3.2 751143 0.886268
137800 3.2 750474 0.888923
138000 3.2 751417 0.892802
138200 3.2 753959 0.880365
138400 3.2 755687 0.895936
138600 3.2 753917 0.886122
138800 3.2 756477 0.896532
139000 3.2 756147 0.892568
139200 3.2 759813 0.898351
139400 3.2 757587 0.896124
139600 3.2 756808 0.899115
139800 3.2 761510 0.901693
140000 3.2 759170 0.89976
140200 3.2 760305 0.906058
140400 3.2 761998 0.900308
140600 3.2 753589 0.901463
140800 3.2 755814 0.908663
141000 3.2 762482 0.910734
141200 3.2 761141 0.899617
141400 3.2 762462 0.913417
141600 3.2 760645 0.903366
141800 3.2 766292 0.907093
142000 3.2 769201 0.908377
142200 3.2 757690 0.907401
142400 3.2 765773 0.913262
142600 3.2 769336 0.912335
142800 3.2 770347 0.916692
143000 3.2 764212 0.914888
143200 3.2 772324 0.909293
143400 3.2 767908 0.921246
143600 3.2 769401 0.913946
143800 3.2 766556 0.912319
144000 3.2 772969 0.918918
144200 3.2 763345 0.920295
144400 3.2 778225 0.925953
144600 3.2 774088 0.9177
144800 3.2 775610 0.925579
145000 3.2 774346 0.925248
145200 3.2 772732 0.918007
145400 3.2 777296 0.930845
145600 3.2 772639 0.926879
145800 3.2 780417 0.931613
146000 3.2 776697 0.933344
146200 3.2 776910 0.928642
146400 3.2 780699 0.930917
146600 3.2 779974 0.931865
146800 3.2 779810 0.942727
147000 3.2 779358 0.930904
147200 3.2 781904 0.939182
147400 3.2 783070 0.93176
147600 3.2 779606 0.939104
147800 3.2 780931 0.938381
148000 3.2 782510 0.942
148200 3.2 783636 0.944246
148400 3.2 780725 0.940916
148600 3.2 784390 0.945519
148800 3.2 787671 0.944184
149000 3.2 786947 0.937795
149200 3.2 789793 0.948674
149400 3.2 790768 0.941594
149600 3.2 790320 0.951099
149800 3.2 782840 0.946868
150000 3.2 793954 0.942994
150200 3.2 792051 0.95146
150400 3.2 789029 0.940819
150600 3.2 792816 0.944684
150800 3.2 787810 0.956973
151000 3.2 796718 0.951268
151200 3.2 796172 0.957819
151400 3.2 790149 0.951269
151600 3.2 794756 0.956309
151800 3.2 795653 0.960816
152000 3.2 797830 0.957188
152200 3.2 796344 0.964145
152400 3.2 796944 0.96976
152600 3.2 792099 0.960693
