# Time-averaged data for fix logger
# TimeStep v_P v_Fobs c_Fsum v_EE v_hcp_frac
65000 15593.1 2.02179e+06 60.8433 33229.4 0
65500 15371.2 1.99319e+06 60.7138 32829.4 0
66000 15024.2 1.94858e+06 63.843 30521.5 0
66500 14002.2 1.81654e+06 57.7498 31455.3 0
67000 13746.1 1.78381e+06 60.0266 29717.1 0
67500 13160.4 1.70819e+06 59.3989 28757.9 0
68000 13248.3 1.71968e+06 62.0933 27695.1 0
68500 13936.6 1.80838e+06 56.969 31743.3 0
69000 15150.3 1.96487e+06 58.198 33761.8 0
69500 17708.5 2.29461e+06 63.5505 36106.8 0
70000 18879.9 2.44473e+06 58.5945 41722.9 0
70500 19905.9 2.57698e+06 61.0178 42233.3 0
71000 18827 2.43806e+06 57.2074 42618 0
71500 16276.8 2.10982e+06 60.1011 35104.5 0
72000 13527.9 1.75551e+06 61.4294 28577.7 0
72500 10546.9 1.37025e+06 64.2193 21337.1 0
73000 10086.6 1.31062e+06 57.0973 22954.2 0
73500 11932.9 1.5495e+06 62.7923 24676.5 0
74000 15349.3 1.99031e+06 62.0758 32062.5 0
74500 19994.1 2.58831e+06 62.8961 41152.2 0
75000 23134.3 2.99113e+06 56.4485 52988.7 0
75500 24453.6 3.16056e+06 58.1847 54319.4 0
76000 22318.7 2.88687e+06 57.5179 50190.8 0
76500 18372.5 2.3798e+06 62.6664 37975.6 0
77000 14014.2 1.81827e+06 61.3062 29658.9 0
77500 11385.5 1.47847e+06 58.7513 25164.9 0
78000 11883.7 1.54299e+06 61.291 25174.7 0
78500 13797 1.79012e+06 60.8279 29429.2 0
79000 17585.4 2.27836e+06 62.3574 36537.1 0
79500 21031.7 2.72158e+06 59.492 45747 0
80000 22362.1 2.89197e+06 59.9044 48276.4 0
80500 21889.1 2.83157e+06 62.6057 45228.6 0
81000 20700 2.67902e+06 59.3569 45134.1 0
81500 18494.8 2.3954e+06 61.844 38733 0
82000 17796.5 2.30585e+06 62.006 37187.5 0
82500 17132.4 2.2199e+06 60.4774 36706.3 0
83000 18429.8 2.38754e+06 55.0894 43339.3 0
83500 18393 2.38221e+06 59.5605 39996.5 0
84000 18924.2 2.45084e+06 60.1827 40723.3 0
84500 18892.8 2.44643e+06 64.6793 37824 0
85000 19114.9 2.47481e+06 57.5041 43037.2 0
85500 20531 2.65755e+06 61.1733 43443 0
86000 21049.5 2.72383e+06 55.9903 48648.2 0
86500 21638.9 2.79973e+06 60.0517 46621.9 0
87000 21106.2 2.73128e+06 57.9235 47153.3 0
87500 20309.8 2.62883e+06 57.1804 45974.3 0
88000 19445.9 2.51794e+06 61.0598 41237.3 0
88500 18562.9 2.40409e+06 59.3823 40485 0
89000 18528.6 2.39993e+06 60.2032 39863.8 0
89500 18713.6 2.42343e+06 64.1668 37767.7 0
90000 20709.1 2.67994e+06 54.0663 49567.6 0
90500 22940.9 2.9666e+06 61.4664 48263.8 0
91000 24724.9 3.19502e+06 62.531 51095 0
91500 25058.5 3.23787e+06 55.5996 58235.4 0
92000 23332.6 3.01696e+06 62.4361 48320.8 0
92500 20018 2.59125e+06 54.6332 47430 0
93000 17589.2 2.27916e+06 62.3306 36565.7 0
93500 17005.6 2.20395e+06 59.0509 37322.9 0
94000 17469.4 2.26349e+06 59.18 38247.6 0
94500 20285.2 2.62579e+06 56.8551 46184 0
95000 23252.8 3.00611e+06 57.4747 52303.3 0
95500 27027.7 3.48965e+06 60.3772 57797.4 0
96000 28962.3 3.73675e+06 62.4576 59828.6 0
96500 28305.3 3.65274e+06 61.5304 59364.8 0
97000 25763.4 3.32839e+06 62.6775 53103.4 0
97500 20543.6 2.659e+06 56.5787 46996.6 0
98000 15867.6 2.0575e+06 64.1237 32086.4 0
98500 13888.8 1.80246e+06 59.0602 30519 0
99000 15560.9 2.01782e+06 59.9244 33672.7 0
99500 20680.1 2.67647e+06 60.7326 44069.7 0
100000 26663.2 3.44304e+06 58.2355 59122.7 0
100500 29419.6 3.79465e+06 60.0131 63230.3 0
101000 29099.2 3.75422e+06 59.581 63010.4 0
101500 26846.7 3.46622e+06 63.4674 54614.1 0
102000 24236.7 3.13227e+06 55.8913 56042.1 0
102500 22264 2.87982e+06 58.9865 48821.6 0
103000 21511.7 2.78296e+06 57.0906 48746.5 0
103500 22220.3 2.87433e+06 60.7625 47304.4 0
104000 22820.1 2.95089e+06 56.6835 52059.1 0
104500 24894.2 3.21665e+06 56.6684 56762.7 0
105000 26341.7 3.40195e+06 60.0681 56634.9 0
105500 27867.5 3.59718e+06 56.6719 63473.8 0
106000 27524.5 3.553e+06 59.2281 59988.3 0
106500 26795.1 3.46001e+06 61.0245 56698.7 0
107000 24763.2 3.19956e+06 63.0968 50708.7 0
107500 22995.9 2.97331e+06 59.1644 50255.1 0
108000 22399 2.89705e+06 58.9041 49182.5 0
108500 23092.8 2.98601e+06 59.194 50444.5 0
109000 25019.2 3.23252e+06 59.1012 54694.7 0
109500 28768 3.71197e+06 55.1854 67263.7 0
110000 31648.7 4.07877e+06 60.8889 66987.1 0
110500 33532.1 4.31913e+06 58.0376 74419.5 0
111000 30222.5 3.89671e+06 63.557 61310.4 0
111500 24794.6 3.20364e+06 62.2574 51458.1 0
112000 19989.7 2.58764e+06 60.901 42489.2 0
112500 17930.8 2.32299e+06 60.8449 38178.9 0
113000 20018.6 2.59127e+06 61.5281 42115.1 0
113500 25581.7 3.30516e+06 60.2752 54834.6 0
114000 30030.3 3.87272e+06 60.2647 64261.8 0
114500 32844.2 4.23044e+06 63.1988 66938.5 0
115000 33959 4.3736e+06 59.0661 74045.9 0
115500 31134.2 4.01354e+06 57.1375 70243.5 0
116000 27302.4 3.52466e+06 60.0615 58684.2 0
116500 24124.1 3.11811e+06 56.3579 55327 0
117000 22608 2.9233e+06 59.3102 49288.3 0
117500 24091.3 3.11383e+06 57.4858 54167 0
118000 26745.5 3.45328e+06 59.7855 57761.1 0
118500 29398.6 3.79189e+06 57.2909 66186.7 0
119000 31779.9 4.09538e+06 59.6935 68606.9 0
119500 32363.8 4.16989e+06 60.674 68726.3 0
120000 31109.1 4.0098e+06 59.549 67336.1 0
120500 29112.4 3.75572e+06 61.1946 61373.4 0
121000 27338.5 3.5289e+06 57.2735 61614.9 0
121500 26564.9 3.43001e+06 61.4101 55854.2 0
