# Time-averaged data for fix logger
# TimeStep v_P c_Fobs c_Fsum v_V
49800 0.682506 0.6912 141123 9555.21
50000 0.663718 0.6912 138868 9545.62
50200 0.727879 0.6912 141624 9532.43
50400 0.802646 0.6912 145120 9518.2
50600 0.813691 0.6912 143551 9505.77
50800 0.763016 0.6912 143129 9495.99
51000 0.873168 0.6912 145731 9488.3
51200 0.76838 0.6912 143687 9483.48
51400 0.753558 0.6912 140809 9478.12
51600 0.756224 0.6912 141056 9471.8
51800 0.825836 0.6912 144303 9465.31
52000 0.787769 0.6912 141868 9458.9
52200 0.757761 0.6912 143009 9453.54
52400 0.865631 0.6912 145295 9449.16
52600 0.789817 0.6912 143059 9446.91
52800 0.797969 0.6912 142224 9444.31
53000 0.796792 0.6912 144804 9440.44
53200 0.831473 0.6912 143050 9434.24
53400 0.836041 0.6912 145182 9428.56
53600 0.836681 0.6912 144148 9422.87
53800 0.790632 0.6912 143275 9417.88
54000 0.846685 0.6912 146161 9412.25
54200 0.799107 0.6912 143779 9404.01
54400 0.87521 0.6912 146298 9393.45
54600 0.952202 0.6912 147761 9383.45
54800 0.856895 0.6912 143500 9375.36
55000 0.812888 0.6912 145058 9366.8
55200 0.881907 0.6912 147270 9357
55400 0.893036 0.6912 145760 9347.47
55600 0.905326 0.6912 149600 9338.11
55800 1.03532 0.6912 150180 9329.14
56000 0.906577 0.6912 145765 9324.14
56200 0.824309 0.6912 144120 9319.36
56400 0.87653 0.6912 146448 9312.45
56600 0.910075 0.6912 146195 9304.63
56800 0.87155 0.6912 146338 9298.53
57000 0.959386 0.6912 147452 9294.06
57200 0.978071 0.6912 148944 9290.79
57400 0.89896 0.6912 147240 9288.21
57600 0.871619 0.6912 145992 9283.65
57800 0.934014 0.6912 148877 9276.19
58000 0.921789 0.6912 147625 9267.6
58200 1.13227 0.6912 153308 9258.69
58400 0.970496 0.6912 148543 9254.97
58600 0.927498 0.6912 147651 9253.73
58800 0.904588 0.6912 146062 9250.91
59000 0.938698 0.6912 146497 9247.05
59200 1.0008 0.6912 147162 9242.88
59400 1.04288 0.6912 151539 9239.56
59600 1.02309 0.6912 148855 9237.26
59800 1.01104 0.6912 146675 9236.2
60000 0.90991 0.6912 148404 9237.04
60200 0.859734 0.6912 144876 9234.26
60400 0.944884 0.6912 147529 9226.52
60600 1.04714 0.6912 149935 9215.96
60800 1.04904 0.6912 148026 9206.96
61000 1.11921 0.6912 152404 9201.18
61200 1.05612 0.6912 150995 9198.39
61400 0.972373 0.6912 148193 9195.2
61600 0.927708 0.6912 148037 9189.81
61800 0.995055 0.6912 149020 9182.11
62000 1.04492 0.6912 149156 9174.46
62200 1.09779 0.6912 151015 9169.34
62400 1.02133 0.6912 150775 9167.01
62600 1.05442 0.6912 149707 9164.98
62800 1.04707 0.6912 149882 9162.22
63000 1.03174 0.6912 149257 9158.33
63200 1.14661 0.6912 154190 9152.59
63400 1.02638 0.6912 147844 9147.16
63600 1.04862 0.6912 150669 9141.5
63800 1.03903 0.6912 150231 9133.17
64000 1.04609 0.6912 150012 9121.35
64200 1.04852 0.6912 148681 9108.1
64400 1.19974 0.6912 154506 9095.15
64600 1.13879 0.6912 152522 9084.79
64800 1.07749 0.6912 148549 9076.66
65000 1.14575 0.6912 151997 9068.66
65200 1.15525 0.6912 150721 9060.54
65400 1.22561 0.6912 155078 9055.05
65600 1.15591 0.6912 151930 9052.24
65800 1.22106 0.6912 154643 9051.55
66000 1.15378 0.6912 153703 9054.22
66200 1.05999 0.6912 147884 9056.2
66400 1.17316 0.6912 151336 9056.86
66600 1.12423 0.6912 152579 9058.18
66800 1.17759 0.6912 153525 9058.74
67000 1.1516 0.6912 152260 9059.2
67200 1.18121 0.6912 155571 9058.95
67400 1.05003 0.6912 151250 9056.13
67600 1.06245 0.6912 148983 9046.91
67800 1.1707 0.6912 151138 9031.46
68000 1.23249 0.6912 153845 9013.89
68200 1.22034 0.6912 152926 8996.74
68400 1.27487 0.6912 155583 8982.22
68600 1.26553 0.6912 151964 8971.06
68800 1.23858 0.6912 155150 8962.52
69000 1.27451 0.6912 155876 8955.06
69200 1.33576 0.6912 158032 8949.56
69400 1.3527 0.6912 159970 8947.93
69600 1.29009 0.6912 158267 8950.41
69800 1.27627 0.6912 155775 8956.2
